"FdReproModeID","LkupSpeciesID","VLReproMode"
"1","17","Viviparous"
"2","19","Viviparous"
"3","21","Viviparous"
"4","1","Oviparous"
"5","32","Oviparous"
"6","3","Oviparous"
"7","2","Oviparous"
"8","72","Oviparous"
"9","43","Oviparous"
"10","114","Oviparous"
"11","106","Oviparous"
"12","63","Oviparous"
"13","7","Oviparous"
"14","8","Oviparous"
"15","23","Discussed as viviparous, but ovoviviparity was disqualified for sake of discussion (p. 509)"
"16","23","Ovoviviparous"
"17","23","Viviparous"
"18","20","Ovoviviparous"
"19","20","Viviparous"
"20","18","Viviparous"
"21","24","Ovoviviparous"
"22","24","Viviparous"
"23","57","Oviparous"
"24","124","Aplacental viviparity"
"25","75","Oviparous"
"26","29","Oviparous"
"27","27","Oviparous"
"28","45","Oviparous"
"29","42","Oviparous"
"30","13","Oviparous"
"31","39","Oviparous"
"32","33","Oviparous"
"33","11","Oviparous"
"34","35","Oviparous"
"35","36","Oviparous"
"36","38","Aplacental viviparity"
"37","119","Oviparous"
"38","10","Oviparous"
"39","25","Viviparous"
"40","125","Viviparous"
"41","50","Oviparous"
"42","54","Oviparous"
"43","126","Viviparous"
"44","64","Oviparous"
"45","58","Oviparous"
"46","14","External fertilization"
"47","14","Oviparous"
"48","4","Oviparous"
"49","60","Oviparous"
"50","28","Oviparous"
"51","30","Oviparous"
"52","105","Oviparous"
"53","73","Oviparous"
"54","44","Oviparous"
"55","122","Viviparous"
"56","121","Viviparous"
"57","121","Yolksac placenta"
"58","46","Viviparous"
"59","37","Aplacental viviparity"
"60","34","External fertilization"
"61","34","Oviparous"
"62","40","Oviparous"
"63","109","Oviparous"
"64","110","Oviparous"
"65","107","Oviparous"
"66","6","Oviparous"
"67","55","Oviparous"
"68","116","Oviparous"
"69","26","Ovoviviparous"
"70","26","Viviparous"
"71","62","Oviparous"
"72","51","Aplacental viviparity"
"73","51","Viviparous"
"74","52","Oviparous"
"75","53","Oviparous"
"76","61","Oviparous"
"77","56","Oviparous"
"78","5","Oviparous"
"79","59","Oviparous"
"80","65","Oviparous"
"81","66","Oviparous"
"82","68","Oviparous"
"83","67","Oviparous"
"84","69","Oviparous"
"85","22","Viviparous"
"86","70","Aplacental viviparity"
"87","74","Oviparous"
"88","97","Oviparous"
"89","97","Ovuliparity"
"90","12","Oviparous"
"91","90","Viviparous"
"92","80","Ovoviviparous"
"93","80","Viviparous"
"94","85","Ovoviviparous"
"95","85","Viviparous"
"96","83","Matrotrophy"
"97","83","Ovoviviparous"
"98","83","Viviparous"
"99","87","Viviparous"
"100","78","Ovoviviparous"
"101","78","Viviparous"
"102","99","Viviparous"
"103","81","Viviparous"
"104","88","Ovoviviparous"
"105","88","Viviparous"
"106","128","Primitive viviparity"
"107","128","Viviparous"
"108","98","Viviparous"
"109","93","Ovoviviparous"
"110","93","Viviparous"
"111","77","Matrotrophic"
"112","77","Ovoviviparous"
"113","77","Viviparous"
"114","103","Ovoviviparous"
"115","103","Viviparous"
"116","79","Ovoviviparous"
"117","79","Primitive viviparity"
"118","79","Viviparous"
"119","82","Ovoviviparous"
"120","82","Viviparous"
"121","101","Ovoviviparous"
"122","101","Primitive viviparity"
"123","101","Viviparous"
"124","96","Viviparous"
"125","129","Ovoviviparous"
"126","129","Viviparous"
"127","130","Viviparous"
"128","86","Viviparous"
"129","94","Ovoviviparous"
"130","94","Viviparous"
"131","127","Viviparous"
"132","104","Ovoviviparous"
"133","104","Viviparous"
"134","84","Viviparous"
"135","100","Ovoviviparous"
"136","100","Viviparous"
"137","89","Viviparous"
"138","92","Viviparous"
"139","102","Viviparous"
"140","95","Oviparous"
"141","95","Ovuliparity"
"142","91","Oviparous"
"143","91","Ovuliparity"
"144","41","Oviparous"
"145","9","Oviparous"
"146","71","Oviparous"
"147","111","Oviparous"
"148","49","Oviparous"
"149","48","Oviparous"
"150","112","Aplacental viviparity"
"151","113","Aplacental viviparity"
"152","108","Oviparous"
"153","15","Oviparous"
"154","118","Oviparous"
"155","117","Oviparous"
"156","47","Oviparous"
"157","120","Aplacental viviparity"
"158","123","Aplacental viviparity"
"159","76","Oviparous"
"160","16","Aplacental viviparity"
"161","31","Oviparous"
"162","115","Oviparous"
