"ReferenceName","FecundityEquationID"
"360","38"
"360","39"
"360","40"
"360","41"
"360","42"
"363","10"
"724","21"
"803","44"
"1010","45"
"991","84"
"991","86"
"991","87"
"755","85"
"78","1"
"78","2"
"135","3"
"135","4"
"78","5"
"1435","6"
"78","8"
"78","9"
"78","11"
"364","12"
"78","13"
"1448","14"
"78","16"
"78","36"
"519","37"
"78","43"
"78","7"
"800","34"
"1066","35"
"1211","17"
"1211","18"
"506","19"
"506","20"
"130","22"
"130","23"
"130","24"
"130","25"
"130","26"
"576","28"
"576","29"
"576","30"
"16","30"
"1391","76"
"539","27"
"1060","88"
"1175","15"
"353","77"
"353","78"
"361","82"
"361","81"
"361","79"
"361","80"
"361","83"
"1148","46"
"348","47"
"506","47"
"348","48"
"895","48"
"506","48"
"1392","49"
"895","49"
"1114","50"
"849","51"
"1473","52"
"1473","53"
"849","54"
"849","55"
"849","56"
"849","57"
"1114","58"
"1379","59"
"849","60"
"554","61"
"554","62"
"895","63"
"547","63"
"831","64"
"849","65"
"849","66"
"849","67"
"849","68"
"836","69"
"506","73"
"506","72"
"506","71"
"506","70"
"506","74"
"506","75"
"1016","31"
"1016","32"
"1016","33"
