"LengthConversionID","ReferenceName"
"93","1278"
"92","1278"
"139","734"
"140","734"
"141","734"
"142","734"
"143","734"
"144","734"
"209","1010"
"146","888"
"194","1474"
"195","1474"
"359","1"
"8","232"
"7","232"
"5","734"
"1","734"
"2","734"
"3","734"
"4","734"
"6","734"
"9","734"
"10","734"
"11","734"
"12","734"
"13","734"
"14","734"
"17","734"
"18","734"
"19","734"
"20","734"
"21","734"
"22","734"
"15","135"
"16","135"
"50","54"
"50","50"
"45","54"
"45","50"
"48","54"
"48","50"
"47","54"
"47","50"
"49","54"
"49","50"
"46","54"
"46","50"
"37","1017"
"37","1019"
"43","734"
"42","734"
"40","734"
"41","734"
"38","734"
"39","734"
"36","1435"
"35","1435"
"44","415"
"58","734"
"59","734"
"60","734"
"61","734"
"62","734"
"63","734"
"64","415"
"65","367"
"66","700"
"67","734"
"68","734"
"69","734"
"70","734"
"71","734"
"72","734"
"111","734"
"119","734"
"109","734"
"110","734"
"107","734"
"108","734"
"112","415"
"113","54"
"113","50"
"114","54"
"114","50"
"115","54"
"115","50"
"116","54"
"116","50"
"117","54"
"117","50"
"118","54"
"118","50"
"121","1448"
"120","1448"
"122","734"
"123","734"
"124","734"
"125","734"
"126","734"
"127","734"
"133","734"
"134","734"
"135","734"
"136","734"
"137","734"
"138","734"
"180","734"
"181","734"
"182","734"
"183","734"
"184","734"
"185","734"
"186","415"
"187","54"
"187","50"
"188","54"
"188","50"
"189","54"
"189","50"
"190","54"
"190","50"
"191","54"
"191","50"
"192","54"
"192","50"
"196","734"
"197","734"
"198","734"
"199","734"
"200","734"
"201","734"
"57","1388"
"51","734"
"52","734"
"53","734"
"54","734"
"55","734"
"56","734"
"174","550"
"31","269"
"32","269"
"33","269"
"34","269"
"175","269"
"176","269"
"177","734"
"178","734"
"179","734"
"132","785"
"100","1158"
"94","734"
"95","734"
"96","734"
"97","734"
"98","734"
"99","734"
"101","734"
"102","734"
"103","734"
"104","734"
"105","734"
"106","734"
"147","783"
"148","783"
"149","783"
"150","783"
"151","783"
"152","783"
"153","734"
"154","734"
"155","734"
"156","734"
"157","734"
"158","734"
"159","248"
"160","1412"
"161","475"
"86","1"
"87","1"
"88","1"
"89","1"
"90","1"
"91","1"
"355","734"
"356","734"
"357","734"
"358","734"
"351","734"
"352","734"
"353","734"
"354","734"
"128","734"
"129","734"
"130","734"
"131","734"
"73","734"
"74","734"
"75","734"
"76","734"
"77","734"
"78","734"
"85","702"
"79","852"
"80","852"
"81","852"
"82","852"
"83","852"
"84","852"
"145","730"
"208","730"
"202","734"
"203","734"
"204","734"
"205","734"
"206","734"
"207","734"
"210","808"
"211","808"
"212","414"
"213","414"
"214","414"
"215","414"
"216","414"
"217","414"
"218","414"
"219","414"
"220","414"
"221","414"
"222","414"
"223","414"
"224","414"
"225","414"
"226","414"
"227","414"
"228","414"
"229","414"
"230","414"
"231","414"
"232","414"
"233","414"
"234","414"
"235","414"
"236","414"
"237","414"
"238","414"
"239","414"
"240","414"
"241","414"
"242","414"
"243","414"
"244","414"
"245","414"
"246","414"
"247","414"
"248","414"
"249","414"
"250","414"
"251","414"
"252","414"
"253","414"
"254","414"
"255","414"
"256","414"
"257","414"
"258","414"
"259","414"
"260","414"
"261","414"
"262","414"
"263","414"
"264","414"
"265","414"
"266","414"
"267","414"
"268","414"
"269","414"
"270","414"
"271","414"
"272","414"
"273","414"
"274","414"
"275","414"
"283","875"
"282","875"
"276","414"
"277","414"
"278","414"
"279","414"
"280","414"
"281","414"
"284","414"
"285","414"
"286","414"
"287","414"
"288","414"
"289","414"
"290","414"
"291","414"
"292","414"
"293","414"
"294","414"
"295","414"
"296","414"
"297","414"
"298","414"
"299","414"
"300","414"
"301","414"
"302","414"
"303","414"
"304","414"
"305","414"
"306","414"
"307","414"
"308","414"
"309","414"
"310","414"
"311","414"
"312","414"
"313","414"
"314","414"
"315","414"
"316","414"
"317","414"
"318","414"
"319","414"
"320","414"
"321","414"
"322","414"
"323","414"
"324","414"
"325","414"
"326","414"
"327","414"
"328","414"
"329","414"
"330","414"
"331","414"
"332","414"
"333","414"
"334","414"
"335","414"
"336","414"
"337","414"
"338","414"
"339","414"
"340","941"
"341","941"
"342","941"
"343","941"
"344","941"
"345","734"
"346","734"
"347","734"
"348","734"
"349","734"
"350","734"
"162","856"
"163","856"
"164","856"
"173","856"
"172","856"
"171","856"
"165","734"
"166","734"
"167","734"
"168","734"
"169","734"
"170","734"
"27","734"
"28","734"
"29","734"
"30","734"
"23","734"
"24","734"
"25","734"
"26","734"
"193","360"
